Epoch,Training_Loss,Validation_Loss,Loss_Difference,Training_Loss_Change,Validation_Loss_Change
1,8.44579730889736,16.12800539456881,7.68220808567145,0.0,0.0
2,8.242040829780775,15.913810754433657,7.671769924652882,-0.2037564791165849,-0.21419464013515288
3,8.027595752324814,15.68914315639398,7.661547404069166,-0.2144450774559612,-0.22466759803967662
4,7.805110686864609,15.495294228578226,7.690183541713617,-0.22248506546020508,-0.19384892781575402
5,7.874571836911715,16.149278494027946,8.274706657116232,0.06946115004710585,0.6539842654497203
6,8.477813427264874,16.48420588175456,8.006392454489685,0.6032415903531589,0.3349273877266121
7,8.454337878104967,16.387675970028607,7.933338091923639,-0.02347554915990635,-0.09652991172595193
8,8.398504562866993,16.098874043195675,7.700369480328682,-0.05583331523797419,-0.2888019268329316
9,8.120078985507671,15.75705836369441,7.636979378186739,-0.2784255773593216,-0.34181567950126457
10,7.813259265361688,15.419810833075108,7.60655156771342,-0.3068197201459837,-0.3372475306193028
11,7.443417640832754,15.030691587007963,7.587273946175209,-0.36984162452893354,-0.38911924606714443
12,7.055171361336341,14.61717446645101,7.562003105114669,-0.3882462794964132,-0.41351712055695344
13,6.642461831753071,14.176387591239733,7.533925759486662,-0.4127095295832701,-0.4407868752112769
14,6.213100283573835,13.726028638008314,7.512928354434479,-0.42936154817923544,-0.4503589532314187
15,5.784804194401472,13.27270977313702,7.487905578735548,-0.4282960891723633,-0.453318864871294
16,5.386316654009697,12.86201276534643,7.475696111336733,-0.39848754039177514,-0.41069700779059026
17,5.038088706823496,12.492882508497972,7.454793801674477,-0.3482279471862011,-0.36913025684845735
18,4.712670518801763,12.113403552617783,7.40073303381602,-0.3254181880217333,-0.37947895588018987
19,4.388878755080394,11.76279991100996,7.373921155929566,-0.32379176372136875,-0.3506036416078224
20,4.072251961781428,11.414743460141695,7.342491498360267,-0.3166267932989655,-0.3480564508682651
